Headings,Names,Codes,English Name,Nepali Name
11.1.1.2,Update,update_user,Update User,प्रयोगकर्ता सच्याउने 
11.1.1.3,Delete,delete_user,Delete User,प्रयोगकर्ता मेटाउने 
11.1.2,Role,view_role,View Role,भूमिका हेर्ने 
11.1.2.1,Create,create_role,Create Role,भूमिका थप्ने  
11.1.2.2,Update,update_role,Update Role,भूमिका सच्याउने  
11.1.2.3,Delete,delete_role,Delete Role,भूमिका मेटाउने 
11.1.3,Create Role,view_create_role,View Create Role,भूमिका थप्ने हेर्ने 
11.1.4,User Activity,view_user_activity,View User Activity,प्रयोगकर्ता क्रियाकलाप हेर्ने 
11.1.5,User Activity Changes,view_user_activity_changes,View User Activity Changes,प्रयोगकर्ताले गरेको परिवर्तनहरु 
12,Admin Creation,view_admin_creation,View Admin Creation,व्यवस्थापक सिर्जना हेर्ने 
12.1,Create,create_admin_creation,Create Admin Creation,व्यवस्थापक सिर्जना थप्ने 
12.1,Update,update_admin_creation,Update Admin Creation,व्यवस्थापक सिर्जना सच्याउने 
12.1,Delete,delete_admin_creation,Delete Admin Creation,व्यवस्थापक सिर्जना मेटाउने 
13,Settings,view_settings,View Settings,सेटिंगहरु हेर्ने 
,,,,
14,Estimation,view_estimation,View Estimation,अनुमान हेर्ने 
14.1,Projects,view_projects,View Projects,प्रोजेक्ट हेर्ने 
14.1.1,Create,create_projects,Create Projects,प्रोजेक्ट थप्ने 
14.1.2,Update,update_projects,Update Projects,प्रोजेक्ट सच्याउने 
14.1.3,Delete,delete_projects,Delete Projects,प्रोजेक्ट मेटाउने 
14.2,District Rate,view_district_rate,View District Rate,जिल्ला दररेट हेर्ने 
14.2.1,Create,create_district_rate,Create District Rate,जिल्ला दररेट थप्ने 
14.2.2,Update,update_district_rate,Update District Rate,जिल्ला दररेट सच्याउने 
14.2.3,Delete,delete_district_rate,Delete District Rate,जिल्ला दररेट मेटाउने 
14.3,Norms,view_norms,View Norms,नर्म्स हेर्ने 
14.3.1,Create,create_norms,Create Norms,नर्म्स थप्ने 
14.3.2,Update,update_norms,Update Norms,नर्म्स सच्याउने 
14.3.3,Delete,delete_norms,Delete Norms,नर्म्स मेटाउने 
